from,to,distance,time
24,459,0.8058753432790332,120.29376716395166
112,192,0.20528441776405978,90.26422088820298
183,359,0.39397757138098566,99.69887856904928
192,598,0.7840555642947554,119.20277821473778
256,637,1.0436703109454017,132.18351554727008
261,310,1.807032219541918,170.3516109770959
304,444,1.4447932259582579,152.2396612979129
310,498,1.262036178650038,143.1018089325019
316,351,0.823240552198196,121.1620276099098
328,185,0.8484563620732313,122.42281810366157
351,597,0.7857112029797718,119.2855601489886
359,24,0.4644864122347386,103.22432061173693
399,605,1.2835659254706717,144.1782962735336
417,428,0.7891198492528894,119.45599246264447
418,183,0.759002247237576,117.95011236187881
428,112,0.6361646968504078,111.80823484252039
444,316,0.7571700115040598,117.85850057520298
459,417,1.0053433634105724,130.26716817052863
498,399,1.0051870291498264,130.25935145749133
526,256,1.5107699637072722,155.5384981853636
597,418,0.9934051874813481,129.6702593740674
598,328,0.45872464781327943,102.93623239066397
605,526,1.6996115251522175,164.9805762576109
637,304,1.345561326359886,147.2780663179943
29,154,4.691842083732266,314.59210418661326
29,574,12.023801473066666,681.1900736533332
154,439,8.110053857764765,485.50269288823824
154,449,3.321846000712386,246.0923000356193
209,342,2.7208217303872777,216.0410865193639
209,528,6.1793133254727035,388.9656662736352
342,615,3.588737149110005,259.4368574555002
343,528,6.071276453403254,383.56382267016266
412,108,4.059075133861579,282.95375669307896
528,29,5.873253685608656,373.6626842804328
574,412,4.908337829582249,325.41689147911245
615,29,5.3807579010465165,349.03789505232584
26,518,0.6175919398982925,110.87959699491464
30,205,1.1507916226377828,137.53958113188912
52,343,2.1480380930821092,187.40190465410546
63,357,0.622112521201147,111.10562606005735
83,645,2.3270706284335096,196.35353142167548
111,283,0.5645064302593689,108.22532151296843
120,463,2.2292374438205407,191.46187219102703
159,349,2.0220180942284136,181.1009047114207
172,393,1.13419531257769,136.7097656288845
197,556,2.4700339601224472,203.50169800612235
205,246,0.7880102116652352,119.40051058326176
220,389,1.6820623072027496,164.10311536013748
231,120,1.216449475412903,140.82247377064516
236,401,1.7119002647167396,165.59501323583697
246,231,1.1900761363163994,139.50380681581998
